station,year,month,day,hour,date,rain,temp,rhum,msl,wdsp,wddir
DUBLIN AIRPORT,2017,1,1,0,2017-01-01T00:00:00Z,0.9,5.3,91,1019.9,12,340
DUBLIN AIRPORT,2017,1,1,1,2017-01-01T01:00:00Z,0.2,4.9,95,1019.7,8,310
DUBLIN AIRPORT,2017,1,1,2,2017-01-01T02:00:00Z,0.1,5,92,1019.8,8,310
DUBLIN AIRPORT,2017,1,1,3,2017-01-01T03:00:00Z,0,4.2,90,1020.2,12,330
DUBLIN AIRPORT,2017,1,1,4,2017-01-01T04:00:00Z,0,3.6,88,1020.2,11,330
DUBLIN AIRPORT,2017,1,1,5,2017-01-01T05:00:00Z,0,2.8,89,1020.4,12,330
DUBLIN AIRPORT,2017,1,1,6,2017-01-01T06:00:00Z,0,1.7,91,1020.4,13,330
DUBLIN AIRPORT,2017,1,1,7,2017-01-01T07:00:00Z,0,1.6,91,1021,13,330
DUBLIN AIRPORT,2017,1,1,8,2017-01-01T08:00:00Z,0,2,89,1021.6,13,330
DUBLIN AIRPORT,2017,1,1,9,2017-01-01T09:00:00Z,0,2.6,84,1022.8,13,340
DUBLIN AIRPORT,2017,1,1,10,2017-01-01T10:00:00Z,0,3,84,1023.6,11,350
DUBLIN AIRPORT,2017,1,1,11,2017-01-01T11:00:00Z,0,3.6,80,1024.2,12,350
DUBLIN AIRPORT,2017,1,1,12,2017-01-01T12:00:00Z,0,4.4,76,1024.5,13,350
DUBLIN AIRPORT,2017,1,1,13,2017-01-01T13:00:00Z,0,4.9,75,1024.8,16,350
DUBLIN AIRPORT,2017,1,1,14,2017-01-01T14:00:00Z,0,5.1,73,1024.6,14,360
DUBLIN AIRPORT,2017,1,1,15,2017-01-01T15:00:00Z,0,4.9,72,1025.5,15,360
DUBLIN AIRPORT,2017,1,1,16,2017-01-01T16:00:00Z,0,4.7,78,1026,12,350
DUBLIN AIRPORT,2017,1,1,17,2017-01-01T17:00:00Z,0,4.5,77,1026.8,12,350
DUBLIN AIRPORT,2017,1,1,18,2017-01-01T18:00:00Z,0,3.9,80,1027.4,11,340
DUBLIN AIRPORT,2017,1,1,19,2017-01-01T19:00:00Z,0,4.3,77,1028,11,350
DUBLIN AIRPORT,2017,1,1,20,2017-01-01T20:00:00Z,0,4.1,80,1028.5,10,340
DUBLIN AIRPORT,2017,1,1,21,2017-01-01T21:00:00Z,0.1,4.7,74,1029.2,15,30
DUBLIN AIRPORT,2017,1,1,22,2017-01-01T22:00:00Z,0,5.2,76,1029.9,14,30
DUBLIN AIRPORT,2017,1,1,23,2017-01-01T23:00:00Z,0,5.1,78,1030.4,16,30
DUBLIN AIRPORT,2017,1,2,0,2017-01-02T00:00:00Z,0,5.1,76,1031.2,15,30
DUBLIN AIRPORT,2017,1,2,1,2017-01-02T01:00:00Z,0,4.7,76,1031.9,14,20
DUBLIN AIRPORT,2017,1,2,2,2017-01-02T02:00:00Z,0,4.6,76,1032.1,12,30
DUBLIN AIRPORT,2017,1,2,3,2017-01-02T03:00:00Z,0,3.6,78,1032.5,10,20
DUBLIN AIRPORT,2017,1,2,4,2017-01-02T04:00:00Z,0,3.3,74,1032.8,8,20
DUBLIN AIRPORT,2017,1,2,5,2017-01-02T05:00:00Z,0,1.6,81,1033.5,8,10
DUBLIN AIRPORT,2017,1,2,6,2017-01-02T06:00:00Z,0,-0.2,86,1033.7,6,360
DUBLIN AIRPORT,2017,1,2,7,2017-01-02T07:00:00Z,0,0.4,82,1033.9,8,330
DUBLIN AIRPORT,2017,1,2,8,2017-01-02T08:00:00Z,0,-0.6,85,1034.4,8,320
DUBLIN AIRPORT,2017,1,2,9,2017-01-02T09:00:00Z,0,-1.5,87,1034.8,7,320
DUBLIN AIRPORT,2017,1,2,10,2017-01-02T10:00:00Z,0,0.4,82,1034.9,8,320
DUBLIN AIRPORT,2017,1,2,11,2017-01-02T11:00:00Z,0,1.7,78,1035,8,310
DUBLIN AIRPORT,2017,1,2,12,2017-01-02T12:00:00Z,0,3,76,1034.8,8,310
DUBLIN AIRPORT,2017,1,2,13,2017-01-02T13:00:00Z,0,3.9,77,1034.1,9,310
DUBLIN AIRPORT,2017,1,2,14,2017-01-02T14:00:00Z,0,4.2,77,1033.9,8,310
DUBLIN AIRPORT,2017,1,2,15,2017-01-02T15:00:00Z,0,3.9,78,1033.7,9,300
DUBLIN AIRPORT,2017,1,2,16,2017-01-02T16:00:00Z,0,2.2,84,1033.6,6,280
DUBLIN AIRPORT,2017,1,2,17,2017-01-02T17:00:00Z,0,1.4,89,1034,8,290
DUBLIN AIRPORT,2017,1,2,18,2017-01-02T18:00:00Z,0,1.2,89,1033.9,8,260
DUBLIN AIRPORT,2017,1,2,19,2017-01-02T19:00:00Z,0,0.8,90,1033.6,8,270
DUBLIN AIRPORT,2017,1,2,20,2017-01-02T20:00:00Z,0,0.2,92,1033.7,9,270
DUBLIN AIRPORT,2017,1,2,21,2017-01-02T21:00:00Z,0,0.2,90,1033.6,9,260
DUBLIN AIRPORT,2017,1,2,22,2017-01-02T22:00:00Z,0,0.8,90,1033.8,8,250
DUBLIN AIRPORT,2017,1,2,23,2017-01-02T23:00:00Z,0,0.6,90,1033.7,10,260
DUBLIN AIRPORT,2017,1,3,0,2017-01-03T00:00:00Z,0,0.5,90,1033.5,9,250
DUBLIN AIRPORT,2017,1,3,1,2017-01-03T01:00:00Z,0,0,94,1033.2,9,250
DUBLIN AIRPORT,2017,1,3,2,2017-01-03T02:00:00Z,0,-0.6,96,1032.7,9,260
DUBLIN AIRPORT,2017,1,3,3,2017-01-03T03:00:00Z,0,-0.8,96,1032.4,9,250
DUBLIN AIRPORT,2017,1,3,4,2017-01-03T04:00:00Z,0,-0.9,96,1032.3,9,260
DUBLIN AIRPORT,2017,1,3,5,2017-01-03T05:00:00Z,0,0.2,96,1031.7,9,270
DUBLIN AIRPORT,2017,1,3,6,2017-01-03T06:00:00Z,0,0.3,96,1031.7,9,250
DUBLIN AIRPORT,2017,1,3,7,2017-01-03T07:00:00Z,0,0.7,94,1031,9,250
DUBLIN AIRPORT,2017,1,3,8,2017-01-03T08:00:00Z,0,1.2,92,1031.3,11,270
